அஃதாவது:[[அஃதாவது, , , , , , , , , , , ]]
போக:[[போகம், , , , , , , , , , , ]]
போகட்டும்:[[போகட்டும், null, , , , , , , , , , ]]
போகணி:[[போ, க், அணி, , , , , , , , , ]]
போகப்போக:[[போகப்போக, null, , , , , , , , , , ]]
போகம்:[[போகம், , , , , , , , , , , ]]
போகவர:[[போகவர, null, , , , , , , , , , ]]
போகி:[[போகி, , , , , , , , , , , ]]
போகிற:[[போ, க், இற, , , , , , , , , ]]
போக்கடி:[[போக், க், அடி, , , , , , , , , ], [போக்க, ட், இ, , , , , , , , , ]]
போக்கடி:[[போக், க், அடி, , , , , , , , , ], [போக்க, ட், இ, , , , , , , , , ]]
போக்கடிப்போக்கில்:[[போக்கடிப்போக்கில், null, , , , , , , , , , ]]
போக்கிடம்:[[போக்கு, இடம், , , , , , , , , , ]]
போக்கியம்:[[போக்கியம், , , , , , , , , , , ]]
போக்கிரி:[[போக்கிரி, , , , , , , , , , , ]]
போக்கிரித்தனம்:[[போக்கிரித்தனம், null, , , , , , , , , , ]]
போக்கில்:[[போக்கு, இல், , , , , , , , , , ]]
போக்கு:[[போக்கு, , , , , , , , , , , ]]
போக்குக்காட்டு:[[போக்குக்காட்டு, null, , , , , , , , , , ]]
போக்குவரத்து:[[போக்குவரத்து, , , , , , , , , , , ]]
போக்குவாக்கில்:[[போக்குவாக்கில், null, , , , , , , , , , ]]
போஜனம்:[[போஜனம், , , , , , , , , , , ]]
போஞ்சிக்காய்:[[போஞ்சிக்காய், null, , , , , , , , , , ]]
போடியார்:[[போடியார், , , , , , , , , , , ]]
போடு:[[போடு, , , , , , , , , , , ]]
போட்டா:[[போட்டா, , , , , , , , , , , ]]
போட்டி:[[போ, ட், டி, , , , , , , , , ]]
போட்டித்:[[போட்டி, த், , , , , , , , , , ]]
போட்டிபோடு:[[போட்டிபோட், உ, , , , , , , , , , ], [போட்டிப், ஓடு, , , , , , , , , , ]]
போட்டிபோடு:[[போட்டிபோட், உ, , , , , , , , , , ], [போட்டிப், ஓடு, , , , , , , , , , ]]
போட்டியாளர்:[[போட்டியாளர், null, , , , , , , , , , ]]
போட்டியிடு:[[போட்டியிட், உ, , , , , , , , , , ]]
போட்டு:[[போ, ட், டு, , , , , , , , , ]]
போட்டுக்:[[போடு, ட், உ, க், , , , , , , , ]]
போட்டுக்கொடு:[[போட்டுக்கொட், உ, , , , , , , , , , ], [போட்டுக்க், ஒடு, , , , , , , , , , ]]
போட்டுக்கொடு:[[போட்டுக்கொட், உ, , , , , , , , , , ], [போட்டுக்க், ஒடு, , , , , , , , , , ]]
போட்டுக்கொள்:[[போட்டுக்கொள், null, , , , , , , , , , ]]
போணி:[[பு, ஓணி, , , , , , , , , , ]]
போண்டா:[[போண்டா, , , , , , , , , , , ]]
போண்டி:[[போ, ண், டி, , , , , , , , , ]]
போதகம்:[[போதம், க், அம், , , , , , , , , ]]
போதகா்:[[போதகர், null, , , , , , , , , , ]]
போதனா:[[போதம், ன், ஆ, , , , , , , , , ]]
போதனை:[[போதனை, , , , , , , , , , , ]]
போதம்:[[போதம், , , , , , , , , , , ]]
போதாக்குறைக்கு:[[போதாக்குறைக்கு, null, , , , , , , , , , ]]
போதாத:[[போதா, த, , , , , , , , , , ]]
போதாததற்கு:[[போதாததற்கு, null, , , , , , , , , , ]]
போதி:[[போதி, , , , , , , , , , , ]]
போதிமரம்:[[போதிமர், அம், , , , , , , , , , ]]
போதிலும்:[[போ, த், இல், உம், , , , , , , , ]]
போது:[[போது, , , , , , , , , , , ]]
போதுமான:[[போதுமான, null, , , , , , , , , , ]]
போதும்:[[போதும், , , , , , , , , , , ]]
போதை:[[போதை, , , , , , , , , , , ]]
போதைப்பொருள்:[[போதைப்பொருள், null, , , , , , , , , , ]]
போதைமருந்து:[[போதைமருந்து, null, , , , , , , , , , ]]
போத்தல்:[[போ, த்தல், , , , , , , , , , ]]
போத்து:[[போத்து, , , , , , , , , , , ]]
போன:[[போனம், , , , , , , , , , , ]]
போன்ற:[[போன்ற், அ, , , , , , , , , , ]]
போன்று:[[போன், ற், உ, , , , , , , , , ], [போன்ற், உ, , , , , , , , , , ]]
போன்று:[[போன், ற், உ, , , , , , , , , ], [போன்ற், உ, , , , , , , , , , ]]
போப்பாண்டவா்:[[போப்பாண்டவர், null, , , , , , , , , , ]]
போயிற்று:[[போயிற், ற், உ, , , , , , , , , ], [போயிற்ற், உ, , , , , , , , , , ]]
போயிற்று:[[போயிற், ற், உ, , , , , , , , , ], [போயிற்ற், உ, , , , , , , , , , ]]
போயும்போயும்:[[போயும்போயும், null, , , , , , , , , , ]]
போய்:[[போய், , , , , , , , , , , ]]
போய்க்கூட:[[போய்க், கூட, , , , , , , , , , ]]
போய்ச்சேர்:[[போய்ச்சேர், null, , , , , , , , , , ]]
போய்வா:[[போ, ய், வா, , , , , , , , , ]]
போரடி:[[போர, ட், இ, , , , , , , , , ]]
போராடு:[[போரா, ட், உ, , , , , , , , , ]]
போராட்டம்:[[போராட்டம், , , , , , , , , , , ]]
போராளி:[[போராளி, , , , , , , , , , , ]]
போரிடு:[[போர், இட், உ, , , , , , , , , ]]
போர்:[[போர், , , , , , , , , , , ]]
போர்க்:[[போர், க், , , , , , , , , , ]]
போர்க்களம்:[[போர்க்களம், , , , , , , , , , , ]]
போர்க்கால:[[போர்க்கால, null, , , , , , , , , , ]]
போர்க்குணம்:[[போர்க்குண், அம், , , , , , , , , , ]]
போர்க்கொடி:[[போர்க்கொடி, , , , , , , , , , , ]]
போர்த்து:[[போர்த்து, , , , , , , , , , , ]]
போர்த்தேங்காய்:[[போர்த்தேங்காய், null, , , , , , , , , , ]]
போர்நிறுத்தம்:[[போர்நிறுத்தம், null, , , , , , , , , , ]]
போர்விமானம்:[[போர்விமான், அம், , , , , , , , , , ]]
போர்வை:[[போர், வ், ஐ, , , , , , , , , ]]
போர்ஷன்:[[போர்ஷ், அன், , , , , , , , , , ]]
போறணை:[[போ, ற், அணை, , , , , , , , , ]]
போற்று:[[போற்று, , , , , , , , , , , ]]
போல:[[, போல, , , , , , , , , , ], [போல், அ, , , , , , , , , , ]]
போல:[[, போல, , , , , , , , , , ], [போல், அ, , , , , , , , , , ]]
போலி:[[போலி, , , , , , , , , , , ]]
போலித்தனம்:[[போலித்தன், அம், , , , , , , , , , ]]
போலீசார்:[[போலீசார், null, , , , , , , , , , ]]
போலீஸ்:[[போலீஸ், , , , , , , , , , , ]]
போலீஸ்காரர்:[[போலீஸ்காரர், null, , , , , , , , , , ]]
போலும்:[[போல், உம், , , , , , , , , , ]]
போல்:[[போல், , , , , , , , , , , ]]
போளி:[[போளி, , , , , , , , , , , ]]
போஷகர்:[[போஷகர், null, , , , , , , , , , ]]
போஷணை:[[போஷணை, , , , , , , , , , , ]]
போஷாக்கு:[[போஷா, க், கு, , , , , , , , , ], [போஷாக், க், உ, , , , , , , , , ], [போஷாக்க், உ, , , , , , , , , , ], [போஷாக், கு, , , , , , , , , , ]]
போஷாக்கு:[[போஷா, க், கு, , , , , , , , , ], [போஷாக், க், உ, , , , , , , , , ], [போஷாக்க், உ, , , , , , , , , , ], [போஷாக், கு, , , , , , , , , , ]]
போஷாக்கு:[[போஷா, க், கு, , , , , , , , , ], [போஷாக், க், உ, , , , , , , , , ], [போஷாக்க், உ, , , , , , , , , , ], [போஷாக், கு, , , , , , , , , , ]]
போஷாக்கு:[[போஷா, க், கு, , , , , , , , , ], [போஷாக், க், உ, , , , , , , , , ], [போஷாக்க், உ, , , , , , , , , , ], [போஷாக், கு, , , , , , , , , , ]]
போஷி:[[போஷ், இ, , , , , , , , , , ]]
போ்:[[பர், , , , , , , , , , , ]]
போ்சொல்:[[பர், ச், ஒல், , , , , , , , , ], [பர், சொல், , , , , , , , , , ], [பர்ச், ஒல், , , , , , , , , , ]]
போ்சொல்:[[பர், ச், ஒல், , , , , , , , , ], [பர், சொல், , , , , , , , , , ], [பர்ச், ஒல், , , , , , , , , , ]]
போ்சொல்:[[பர், ச், ஒல், , , , , , , , , ], [பர், சொல், , , , , , , , , , ], [பர்ச், ஒல், , , , , , , , , , ]]
போ்த்தி:[[பர்த், த், இ, , , , , , , , , ], [பர்த்த், இ, , , , , , , , , , ]]
போ்த்தி:[[பர்த், த், இ, , , , , , , , , ], [பர்த்த், இ, , , , , , , , , , ]]
போ்பண்ணு:[[பர்பண்ண், உ, , , , , , , , , , ]]
போ்போன:[[பர்போன, null, , , , , , , , , , ]]
போ்வழி:[[பர்வழி, null, , , , , , , , , , ]]
பௌதிக:[[பௌதிக, null, , , , , , , , , , ]]
பௌதிகம்:[[பௌதிக், அம், , , , , , , , , , ]]
பௌத்திரன்:[[பௌத்திர், அன், , , , , , , , , , ]]
பௌத்திரம்:[[பௌத்திர், அம், , , , , , , , , , ]]
பௌத்திரி:[[பௌத்திரி, null, , , , , , , , , , ]]
பௌர்ணமி:[[பௌர்ணமி, , , , , , , , , , , ]]
மகசூல்:[[மகசூல், null, , , , , , , , , , ]]
மகஜா்:[[மகஜர், null, , , , , , , , , , ]]
மகத்தான:[[மகத்தான, null, , , , , , , , , , ]]
மகத்துவம்:[[மகத்துவ், அம், , , , , , , , , , ]]
மகன்:[[ம, க், அன், , , , , , , , , ]]
மகப்பேறியல்:[[மகப்பேறியல், null, , , , , , , , , , ]]
மகப்பேறு:[[மகப்பேற், உ, , , , , , , , , , ]]
மகமாயி:[[மகமாயி, , , , , , , , , , , ]]
மகமை:[[மகம், ஐ, , , , , , , , , , ]]
மகம்:[[மகம், , , , , , , , , , , ]]
மகரகாந்தி:[[மகரகாந்தி, null, , , , , , , , , , ]]
மகரகுண்டலம்:[[மகரகுண்டலம், null, , , , , , , , , , ]]
மகரக்கட்டு:[[மகரக்கட்டு, null, , , , , , , , , , ]]
மகரந்தச்சோ்க்கை:[[மகரந்தச்சர்க்கை, null, , , , , , , , , , ]]
மகரந்தத்:[[மகரந்தத், null, , , , , , , , , , ]]
மகரந்தப்:[[மகரந்தப், null, , , , , , , , , , ]]
மகரந்தம்:[[மகரந்தம், , , , , , , , , , , ]]
மகரம்:[[மகரம், , , , , , , , , , , ]]
மகரரேகை:[[மகரரேக், ஐ, , , , , , , , , , ]]
மகராசன்:[[மகராசன், , , , , , , , , , , ]]
மகராசி:[[மகராசி, , , , , , , , , , , ]]
மகளிர்:[[மகளிர், , , , , , , , , , , ]]
மகள்:[[மகள், , , , , , , , , , , ]]
மகவு:[[மக, வ், உ, , , , , , , , , ]]
மகா:[[மகா, , , , , , , , , , , ]]
மகாசன்னிதானம்:[[மகாசன்னிதானம், null, , , , , , , , , , ]]
மகாசமுத்திரம்:[[மகாசமுத்திரம், null, , , , , , , , , , ]]
மகாத்மா:[[மகாத்மா, , , , , , , , , , , ]]
மகாத்மியம்:[[மகாத்மியம், , , , , , , , , , , ]]
மகாநாடு:[[மகா, ந், ஆடு, , , , , , , , , ]]
மகானுபாவன்:[[மகானுபாவன், null, , , , , , , , , , ]]
மகான்:[[மகான், , , , , , , , , , , ]]
மகாபாரதம்:[[மகாபாரதம், , , , , , , , , , , ]]
மகாமகம்:[[மகாமக், அம், , , , , , , , , , ]]
மகாராஜா:[[மகாராஜா, , , , , , , , , , , ]]
மகாராணி:[[மகாராணி, , , , , , , , , , , ]]
மகால்:[[ம, க், ஆல், , , , , , , , , ]]
மகாவித்தியாலயம்:[[மகாவித்தியாலயம், null, , , , , , , , , , ]]
மகாவித்வான்:[[மகாவித்வான், , , , , , , , , , , ]]
மகாவீரா்:[[மகாவீரர், null, , , , , , , , , , ]]
மகா்ந்தச்சோ்க்கை:[[மகர்ந்தச்சர்க்கை, null, , , , , , , , , , ]]
மகிமை:[[மகிமை, , , , , , , , , , , ]]
மகிரிஷி:[[மகிரிஷி, null, , , , , , , , , , ]]
மகிழமரம்:[[மகிழமரம், , , , , , , , , , , ]]
மகிழம்பூ:[[மகிழம்பூ, , , , , , , , , , , ]]
மகிழ்:[[மகிழ், , , , , , , , , , , ]]
மகிழ்ச்சி:[[மகிழ்ச்சி, , , , , , , , , , , ]]
மகிழ்வி:[[மகிழ்வி, , , , , , , , , , , ]]
மகிழ்வு:[[மகிழ்வு, , , , , , , , , , , ]]
மகிஷம்:[[மகிஷ், அம், , , , , , , , , , ]]
மகுடம்:[[மகுடம், , , , , , , , , , , ]]
மகுடாட்டம்:[[மகுடாட்ட், அம், , , , , , , , , , ], [மகுடாட், அம், , , , , , , , , , ]]
மகுடாட்டம்:[[மகுடாட்ட், அம், , , , , , , , , , ], [மகுடாட், அம், , , , , , , , , , ]]
மகுடி:[[மகுடி, , , , , , , , , , , ]]
மகேசன்:[[மகே, ச், அன், , , , , , , , , ], [மகேச், அன், , , , , , , , , , ]]
மகேசன்:[[மகே, ச், அன், , , , , , , , , ], [மகேச், அன், , , , , , , , , , ]]
மகோதரம்:[[மகோதர், அம், , , , , , , , , , ]]
மகோன்னதம்:[[மகோன்னதம், , , , , , , , , , , ]]
மக்கட்பேறு:[[மக்கட்பேற், உ, , , , , , , , , , ]]
மக்கன்:[[மக்கன், , , , , , , , , , , ]]
மக்கல்:[[மக்கல், , , , , , , , , , , ]]
மக்களவை:[[மக்கள, வ், ஐ, , , , , , , , , ], [மக்களவ், ஐ, , , , , , , , , , ]]
மக்களவை:[[மக்கள, வ், ஐ, , , , , , , , , ], [மக்களவ், ஐ, , , , , , , , , , ]]
மக்களாட்சி:[[மக்களாட்சி, , , , , , , , , , , ]]
மக்களி:[[மக்களி, , , , , , , , , , , ]]
மக்கள்:[[மக்கள், , , , , , , , , , , ]]
மக்கள்தொகை:[[மக்கள்தொக், ஐ, , , , , , , , , , ]]
மக்கள்தொகைக்:[[மக்கள்தொகைக், null, , , , , , , , , , ]]
மக்காச்சோளம்:[[மக்காச்சோளம், null, , , , , , , , , , ]]
மக்கா்:[[மக்கர், , , , , , , , , , , ]]
மக்கி:[[ம, க், கி, , , , , , , , , ]]
மக்கு:[[மக்கு, , , , , , , , , , , ]]
மக்குப்:[[மக்கு, ப், , , , , , , , , , ]]
மங்கல:[[மங்கல, , , , , , , , , , , ]]
மங்கலம்:[[மங்கலம், , , , , , , , , , , ]]
மங்கல்:[[மங்கல், , , , , , , , , , , ]]
மங்களம்:[[மங்களம், , , , , , , , , , , ]]
மங்களாசாசனம்:[[மங்களாசாசனம், null, , , , , , , , , , ]]
மங்காத்தா:[[மங்காத்தா, , , , , , , , , , , ]]
மங்கு:[[மங்கு, , , , , , , , , , , ]]
மங்குஸ்தான்:[[மங்குஸ்தான், , , , , , , , , , , ]]
மங்கை:[[மங்கை, , , , , , , , , , , ]]
மசகு:[[மசகு, , , , , , , , , , , ]]
மசக்கை:[[மசக்கு, ஐ, , , , , , , , , , ]]
மசமச:[[மசமச, null, , , , , , , , , , ]]
மசாலா:[[மசாலா, , , , , , , , , , , ]]
மசால்:[[மசால், , , , , , , , , , , ]]
மசி:[[மசி, , , , , , , , , , , ]]
மசியல்:[[மசியல், , , , , , , , , , , ]]
மசுங்கு:[[மசுங், க், உ, , , , , , , , , ], [மசுங்க், உ, , , , , , , , , , ], [மசுங், கு, , , , , , , , , , ]]
மசுங்கு:[[மசுங், க், உ, , , , , , , , , ], [மசுங்க், உ, , , , , , , , , , ], [மசுங், கு, , , , , , , , , , ]]
மசுங்கு:[[மசுங், க், உ, , , , , , , , , ], [மசுங்க், உ, , , , , , , , , , ], [மசுங், கு, , , , , , , , , , ]]
மசூதி:[[மசூதி, , , , , , , , , , , ]]
மசோதா:[[ம, சோதா, , , , , , , , , , ]]
மச்சம்:[[மச்சம், , , , , , , , , , , ]]
மச்சான்:[[மச்சான், , , , , , , , , , , ]]
மச்சாள்:[[மச்சு, ஆள், , , , , , , , , , ]]
மச்சினன்:[[மச்சின், அன், , , , , , , , , , ]]
மச்சினி:[[மச்சினி, , , , , , , , , , , ]]
மச்சு:[[மச்சு, , , , , , , , , , , ]]
மச்சுவீடு:[[மச்சுவீட், உ, , , , , , , , , , ]]
மஜ்ஜை:[[மஜ்ஜ், ஐ, , , , , , , , , , ]]
மஞ்சணத்தி:[[மஞ்சணத்தி, , , , , , , , , , , ]]
மஞ்சனம்:[[மஞ்சன், அம், , , , , , , , , , ]]
மஞ்சம்:[[மஞ்சம், , , , , , , , , , , ]]
மஞ்சரி:[[மஞ்சரி, , , , , , , , , , , ]]
மஞ்சல்:[[மஞ்சு, அல், , , , , , , , , , ]]
மஞ்சள்:[[மஞ்சள், , , , , , , , , , , ]]
மஞ்சள்காப்பு:[[மஞ்சள்காப்பு, null, , , , , , , , , , ]]
மஞ்சள்காமாலை:[[மஞ்சள்காமாலை, null, , , , , , , , , , ]]
மஞ்சிவிரட்டு:[[மஞ்சிவிரட்டு, null, , , , , , , , , , ]]
மஞ்சு:[[மஞ்சு, , , , , , , , , , , ]]
மஞ்சுவிரட்டு:[[மஞ்சுவிரட்டு, null, , , , , , , , , , ]]
மடக்கம்:[[மடக்கம், , , , , , , , , , , ]]
மடக்கு:[[மடக்கு, , , , , , , , , , , ]]
மடக்கை:[[மடக்கு, ஐ, , , , , , , , , , ]]
மடங்கி:[[மடம், க், இ, , , , , , , , , ]]
மடங்கு:[[மடங்கு, , , , , , , , , , , ]]
மடசாம்பிராணி:[[மடசாம்பிராணி, null, , , , , , , , , , ]]
மடத்தனம்:[[மடத்தன், அம், , , , , , , , , , ]]
மடந்தை:[[மடந்தை, , , , , , , , , , , ]]
மடப்பள்ளி:[[மடப்பள்ளி, null, , , , , , , , , , ]]
மடமட:[[மடமட, null, , , , , , , , , , ]]
மடமை:[[மடம், ஐ, , , , , , , , , , ]]
மடம்:[[மடம், , , , , , , , , , , ]]
மடல்:[[மடல், , , , , , , , , , , ]]
மடவை:[[மடம், வ், ஐ, , , , , , , , , ]]
மடாதிபதி:[[மடாதிபதி, , , , , , , , , , , ]]
மடாலயம்:[[மடாலயம், , , , , , , , , , , ]]
மடி:[[மடி, , , , , , , , , , , ]]
மடிகோலு:[[மடி, கோல், உ, , , , , , , , , ]]
மடிசரா்:[[மடிசரர், null, , , , , , , , , , ]]
மடிப்பிச்சை:[[மடிப்பிச்ச், ஐ, , , , , , , , , , ]]
மடிப்பு:[[மடி, ப், பு, , , , , , , , , ]]
மடிமஞ்சி:[[மடிமஞ்சி, null, , , , , , , , , , ]]
மடு:[[மடு, , , , , , , , , , , ]]
மடை:[[மடை, , , , , , , , , , , ]]
மடைப்பள்ளி:[[மடைப்பள்ளி, null, , , , , , , , , , ]]
மடைமாற்று:[[மடைமாற்ற், உ, , , , , , , , , , ]]
மடையன்:[[ம, ட், ஐயன், , , , , , , , , ]]
மடையான்:[[மடை, ய், ஆன், , , , , , , , , ]]
மடைவாய்:[[மடைவ், ஆய், , , , , , , , , , ]]
மட்கு:[[மட்கு, , , , , , , , , , , ]]
மட்டப்பலகை:[[மட்டப்பலகை, , , , , , , , , , , ]]
மட்டம்:[[மட்டம், , , , , , , , , , , ]]
மட்டம்தட்டு:[[மட்டம்தட்டு, null, , , , , , , , , , ]]
மட்டம்போடு:[[மட்டு, அம், ப், ஓடு, , , , , , , , ]]
மட்டம்வெடி:[[மட்டம்வெடி, null, , , , , , , , , , ]]
மட்டற்ற:[[மட்டற்ற, null, , , , , , , , , , ]]
மட்டி:[[மட்டி, , , , , , , , , , , ]]
மட்டிப்பால்:[[மட்டிப்பால், , , , , , , , , , , ]]
மட்டிலா:[[மட்டி, ல், ஆ, , , , , , , , , ]]
மட்டில்:[[மட்டு, இல், , , , , , , , , , ]]
மட்டு:[[மட்டு, , , , , , , , , , , ]]
மட்டுக்கட்டு:[[மட்டுக்கட்டு, null, , , , , , , , , , ]]
மட்டுப்படு:[[மட்டுப்பட், உ, , , , , , , , , , ]]
மட்டுப்படுத்து:[[மட்டுப்படுத்து, null, , , , , , , , , , ]]
மட்டுமதியம்:[[மட்டுமதியம், null, , , , , , , , , , ]]
மட்டுமரியாதை:[[மட்டுமரியாதை, , , , , , , , , , , ]]
மட்டும்:[[மட்டும், , , , , , , , , , , ]]
மட்டை:[[மட்டை, , , , , , , , , , , ]]
மட்டைத்தேள்:[[மட்டைத்தேள், , , , , , , , , , , ]]
மட்டையடி:[[மட்டையடி, , , , , , , , , , , ]]
மட்டையாளா்:[[மட்டையாளர், null, , , , , , , , , , ]]
மட்பாண்டம்:[[மட்பாண்ட், அம், , , , , , , , , , ]]
மண:[[மண, , , , , , , , , , , ]]
மணக்கூண்டு:[[மணக்கூண்ட், உ, , , , , , , , , , ]]
மணங்கு:[[மணங்கு, , , , , , , , , , , ]]
மணத்தக்காளி:[[மணத்தக்காளி, , , , , , , , , , , ]]
மணத்துணிவு:[[மணத்துணிவு, null, , , , , , , , , , ]]
மணத்தைக்:[[மணத்தை, க், , , , , , , , , , ]]
மணப்பெண்:[[மணப்பெண், , , , , , , , , , , ]]
மணமகன்:[[மணமகன், , , , , , , , , , , ]]
மணமகள்:[[மணமகள், , , , , , , , , , , ]]
மணமக்கள்:[[மணமக், கள், , , , , , , , , , ]]
மணமுடி:[[மணமுடி, , , , , , , , , , , ]]
மணமுறிவு:[[மணமுறிவ், உ, , , , , , , , , , ]]
மணமேடை:[[மணமே, ட், ஐ, , , , , , , , , ], [மணமேடு, ஐ, , , , , , , , , , ]]
மணமேடை:[[மணமே, ட், ஐ, , , , , , , , , ], [மணமேடு, ஐ, , , , , , , , , , ]]
மணம்:[[மணம், , , , , , , , , , , ]]
மணற்பாடு:[[மணற்பாடு, , , , , , , , , , , ]]
மணற்புயல்:[[மணற்புயல், null, , , , , , , , , , ]]
மணலை:[[மணல், ஐ, , , , , , , , , , ]]
மணல்:[[மணல், , , , , , , , , , , ]]
மணல்வாரி:[[மணல்வாரி, null, , , , , , , , , , ]]
மணவறை:[[மணவறை, , , , , , , , , , , ]]
மணவாட்டி:[[மணவாட்டி, null, , , , , , , , , , ]]
மணவாளன்:[[மணவாளன், , , , , , , , , , , ]]
மணவிலக்கு:[[மணவிலக்கு, null, , , , , , , , , , ]]
மணாளன்:[[மணாளன், , , , , , , , , , , ]]
மணி:[[மணி, , , , , , , , , , , ]]
மணிக்கட்டு:[[மணிக்கட்டு, , , , , , , , , , , ]]
மணிக்கூடு:[[மணிக்கூட், உ, , , , , , , , , , ]]
மணிக்கூட்டுக்:[[மணிக்கூட்டுக், null, , , , , , , , , , ]]
மணிச்சட்டம்:[[மணிச்சட்டம், null, , , , , , , , , , ]]
மணிச்சத்து:[[மணிச்ச, த்து, , , , , , , , , , ], [மணிச்சத்த், உ, , , , , , , , , , ], [மணிச்ச், அத்து, , , , , , , , , , ]]
மணிச்சத்து:[[மணிச்ச, த்து, , , , , , , , , , ], [மணிச்சத்த், உ, , , , , , , , , , ], [மணிச்ச், அத்து, , , , , , , , , , ]]
மணிச்சத்து:[[மணிச்ச, த்து, , , , , , , , , , ], [மணிச்சத்த், உ, , , , , , , , , , ], [மணிச்ச், அத்து, , , , , , , , , , ]]
மணிஜாடி:[[மணிஜா, ட், இ, , , , , , , , , ]]
மணிப்பிரவாளம்:[[மணிப்பிரவாளம், , , , , , , , , , , ]]
மணிப்புறா:[[மணிப்புறா, , , , , , , , , , , ]]
மணிமகுடம்:[[மணிமகுடம், , , , , , , , , , , ]]
மணிமண்டபம்:[[மணிமண்டபம், , , , , , , , , , , ]]
மணிமேடை:[[மணிமேடை, , , , , , , , , , , ]]
மணியக்காரா்:[[மணியக்காரர், null, , , , , , , , , , ]]
மணியம்:[[மணியம், , , , , , , , , , , ]]
மணிலா:[[மணி, ல், ஆ, , , , , , , , , ]]
மணிலாக்கொட்டை:[[மணிலாக்கொட்டை, null, , , , , , , , , , ]]
மணிவிழா:[[மணிவிழா, , , , , , , , , , , ]]
மணை:[[மணை, , , , , , , , , , , ]]
மண்:[[மண், , , , , , , , , , , ]]
மண்குளியல்:[[மண்குளியல், null, , , , , , , , , , ]]
மண்டகப்படி:[[மண்டகப்படி, null, , , , , , , , , , ]]
மண்டபம்:[[மண்டபம், , , , , , , , , , , ]]
மண்டலம்:[[மண்டலம், , , , , , , , , , , ]]
மண்டலாபிஷேகம்:[[மண்டலாபிஷேகம், , , , , , , , , , , ]]
மண்டி:[[ம, ண், டி, , , , , , , , , ]]
மண்டிபோடு:[[மண்டிபோட், உ, , , , , , , , , , ], [மண்டிப், ஓடு, , , , , , , , , , ]]
மண்டிபோடு:[[மண்டிபோட், உ, , , , , , , , , , ], [மண்டிப், ஓடு, , , , , , , , , , ]]
மண்டியிடு:[[மண்டியிட், உ, , , , , , , , , , ]]
மண்டு:[[மண்டு, , , , , , , , , , , ]]
மண்டூகம்:[[மண்டூக், அம், , , , , , , , , , ]]
மண்டை:[[மண்டை, , , , , , , , , , , ]]
மண்டைஓடு:[[மண்டை, ஓடு, , , , , , , , , , ]]
மண்டைகாய்:[[மண்டைகாய், null, , , , , , , , , , ]]
மண்டைக்கனம்:[[மண்டைக்கனம், null, , , , , , , , , , ]]
மண்டைக்கா்வம்:[[மண்டைக்கர்வம், null, , , , , , , , , , ]]
மண்டையிடி:[[மண்டையிடி, null, , , , , , , , , , ]]
மண்டையில்:[[மண்டை, ய், இல், , , , , , , , , ]]
மண்டையை:[[மண்டை, ய், ஐ, , , , , , , , , ]]
மண்டையைப்:[[மண்டையை, ப், , , , , , , , , , ]]
மண்டையோடு:[[மண்டை, ய், ஓடு, , , , , , , , , ]]
மண்டைவீங்கு:[[மண்டைவீங்க், உ, , , , , , , , , , ], [மண்டைவீங், கு, , , , , , , , , , ]]
மண்டைவீங்கு:[[மண்டைவீங்க், உ, , , , , , , , , , ], [மண்டைவீங், கு, , , , , , , , , , ]]
மண்டைவெல்லம்:[[மண்டைவெல்லம், , , , , , , , , , , ]]
மண்ணா:[[மண், ண், ஆ, , , , , , , , , ], [ம், அண்ண், ஆ, , , , , , , , , ], [மண்ண், ஆ, , , , , , , , , , ]]
மண்ணா:[[மண், ண், ஆ, , , , , , , , , ], [ம், அண்ண், ஆ, , , , , , , , , ], [மண்ண், ஆ, , , , , , , , , , ]]
மண்ணா:[[மண், ண், ஆ, , , , , , , , , ], [ம், அண்ண், ஆ, , , , , , , , , ], [மண்ண், ஆ, , , , , , , , , , ]]
மண்ணாகு:[[மண்ணா, க், உ, , , , , , , , , ], [மண்ணாக், உ, , , , , , , , , , ], [மண்ணா, கு, , , , , , , , , , ]]
மண்ணாகு:[[மண்ணா, க், உ, , , , , , , , , ], [மண்ணாக், உ, , , , , , , , , , ], [மண்ணா, கு, , , , , , , , , , ]]
மண்ணாகு:[[மண்ணா, க், உ, , , , , , , , , ], [மண்ணாக், உ, , , , , , , , , , ], [மண்ணா, கு, , , , , , , , , , ]]
மண்ணாங்கட்டி:[[மண்ணாங்கட்டி, null, , , , , , , , , , ]]
மண்ணியல்:[[மண்ணியல், , , , , , , , , , , ]]
மண்ணீரல்:[[மண்ணீரல், , , , , , , , , , , ]]
மண்ணுளிப்பாம்பு:[[மண்ணுளிப்பாம்பு, , , , , , , , , , , ]]
மண்ணெண்ணெய்:[[மண்ணெண்ணெய், null, , , , , , , , , , ]]
மண்ணை:[[மண்ணை, , , , , , , , , , , ]]
மண்ணைக்:[[மண்ணை, க், , , , , , , , , , ]]
மண்ணைத்:[[மண்ணை, த், , , , , , , , , , ]]
மண்ணைப்:[[மண்ணை, ப், , , , , , , , , , ]]
மண்ணோடு:[[மண், ண், ஓடு, , , , , , , , , ], [மண்ணோ, ட், உ, , , , , , , , , ], [மண்ணோட், உ, , , , , , , , , , ], [மண்ண், ஓடு, , , , , , , , , , ]]
மண்ணோடு:[[மண், ண், ஓடு, , , , , , , , , ], [மண்ணோ, ட், உ, , , , , , , , , ], [மண்ணோட், உ, , , , , , , , , , ], [மண்ண், ஓடு, , , , , , , , , , ]]
